BirdID,Sex,birth_year,lifespan,mum,dad,MumAge,n_off,unix_fys,SmallFROH,MediumFROH,LargeFROH,Coverage,F10,F20,F50,F100,F200,F500,RegFROH,Fped,CovMum,mumLargeFroh,mumSmallFroh,mumMediumFroh,mumFped,mumF10,mumF50,mumRegFROH,CovDad,dadLargeFroh,dadSmallFroh,dadMediumFroh,dadFped,dadF10,dadF50,dadRegFROH,event,first_catch,BrMID,BrMSmallFroh,BrMMediumFroh,BrMLargeFroh,BrMFped,CovBrM,BrMF10,BrMF50,BrMRegFroh,EPP,year_cv,mean_total_rain,mean_breeding_rain,mean_rain_cv,birth_total_rain,birth_breeding_rain,BirthRainCV,natal_group_size,h_count,sib_pres
1575,0,2000,1,1186,1188,4,0,1,0.020757664,0.204490539,0.257281332,1.09858,0.193962104,0.269805878,0.272161771,0.272178918,0.272178918,0.675858818,0.461771871,0,2.27461,0.209844307,0.02392099,0.22239546,0,0.103291011,0.215054273,0.432239767,3.10762,0.243789698,0.021487381,0.205123416,0,0.239239537,0.254841564,0.448913114,0,0,1184,0.01637768,0.159564632,0.391067027,0,3.83704,0.41950316,0.420291863,0.550631659,1,0.951624384,2000.05,97.85,0.968168663,1973.6,84.7,0.951624384,3,0,0
1576,0,2000,10,859,929,6,1,1,0.020253681,0.185993749,0.237088278,1.56953,0.106546358,0.243566541,0.24358807,0.243588119,0.243588119,0.643994406,0.423082027,0,1.09583,0.266645128,0.023029779,0.192861937,0,0.278567549,0.287284159,0.459507065,3.2969,0.195802958,0.021130934,0.209633615,0,0.200607103,0.206997576,0.405436573,0,0,929,0.021130934,0.209633615,0.195802958,0,3.2969,0.200607103,0.206997576,0.405436573,0,0.951624384,1996.35,284.2277778,1.365096577,1973.6,84.7,0.951624384,3,0,0
1186,0,1996,6,604,603,3,8,0,0.02392099,0.22239546,0.209844307,2.27461,0.103291011,0.213011297,0.215054273,0.215062324,0.215062324,0.663593082,0.432239767,0,3.10197,0.202332489,0.018538397,0.199260677,0,0.141192522,0.185500445,0.401593166,1.82761,0.28685952,0.020279904,0.202856054,0,0.203034811,0.320259155,0.489715574,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.455179808,2095.933333,225.5666667,1.188302074,3410.4,844,1.455179808,2,0,0
848,0,1994,6,464,65,2,2,0,0.024638867,0.226954433,0.163216089,2.08963,0.034228521,0.192733482,0.195193644,0.195194987,0.195194987,0.637483583,0.390170522,0,1.96458,0.203770772,0.020397694,0.176543035,0,0.173012764,0.202495871,0.380313807,3.26768,0.299448371,0.021475881,0.175576215,0,0.295072088,0.308790672,0.475024586,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.6318506,1956.966667,239.4555556,1.292863964,1896.4,194.6,1.6318506,2,0,0
1577,1,2000,13,308,1274,10,10,1,0.020751405,0.203634672,0.170088694,2.61277,0.060665345,0.186638864,0.188591379,0.188595547,0.188595547,0.620817925,0.373723366,0,2.27897,0.239259464,0.017161519,0.194023467,0,0.23987052,0.248702962,0.433282931,1.48409,0.149856397,0.023166035,0.212712002,0,0.050817168,0.166062325,0.362568399,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.951624384,1908.468,249.644,1.395878095,1973.6,84.7,0.951624384,5,0,0
1370,1,1997,7,308,216,7,4,1,0.018190833,0.203666916,0.259906561,2.44346,0.283662334,0.301949962,0.303636013,0.303639011,0.303639011,0.68554618,0.463573477,0,2.27897,0.239259464,0.017161519,0.194023467,0,0.23987052,0.248702962,0.433282931,3.40409,0.214227187,0.021652759,0.189111665,0,0.175800197,0.227159189,0.403338852,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.411918228,2007.74,179.75,1.245041702,1725,124.5,1.411918228,5,0,1
1384,0,1998,11,1246,609,1,4,1,0.025876269,0.197354153,0.183410487,2.44803,0.081602693,0.169460398,0.171175871,0.171178978,0.171178978,0.622045147,0.38076464,0,3.44369,0.195858797,0.024763761,0.191736349,0,0.018370813,0.218212067,0.387595146,3.60204,0.186951308,0.024048787,0.207890326,0,0.174933657,0.188888465,0.394841634,0,0,507,0.01890918,0.201047905,0.223915384,0,4.74564,0.060792667,0.253107401,0.424963289,1,1.411918228,1968.985714,267.1047619,1.280521516,1725,124.5,1.411918228,4,1,0
1552,0,1999,3,1369,1032,2,3,0,0.018281725,0.203445347,0.154142559,2.69251,0.102243257,0.148612616,0.148948222,0.148962172,0.148962172,0.607658045,0.357587906,0,0.402636,0.171141733,0.024107388,0.21347685,0,0.10573353,0.187951112,0.384618583,3.64148,0.165490368,0.016259189,0.189833622,0,0.139626503,0.170298474,0.35532399,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.129623187,2144.95,129.775,1.039114008,1711.6,209,1.129623187,3,0,0
1504,1,1999,11,1404,507,2,13,0,0.018942644,0.192223573,0.244415248,2.30224,0.223610109,0.247359153,0.250750734,0.250756498,0.250756498,0.652982866,0.436638821,0,2.34826,0.200382626,0.019652246,0.185515387,0,0.210206818,0.213376726,0.385898013,4.74564,0.223915384,0.01890918,0.201047905,0,0.060792667,0.253107401,0.424963289,0,0,221,0.023550078,0.172775559,0.255772428,0,1.62717,0.230338768,0.276664697,0.428547987,1,1.129623187,1954.565,279.175,1.409146796,1711.6,209,1.129623187,5,0,0
1578,1,2000,2,862,917,6,2,0,0.019176014,0.18267684,0.33432808,2.12092,0.262870635,0.332722482,0.353195155,0.353433222,0.353433353,0.727184121,0.51700492,0,0.865064,0.213928991,0.020885812,0.18693249,0,0.181619817,0.204015887,0.400861481,2.16696,0.233898992,0.020969202,0.191088079,0,0.176308461,0.246500777,0.424987071,0,0,632,0.011979429,0.170820009,0.429607787,0,2.95712,0.457920413,0.472414086,0.600427796,1,0.951624384,2289.4,103.3666667,1.008944281,1973.6,84.7,0.951624384,4,0,0
